City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Siocon,PH,83.89,overcast clouds,7.7061,122.1353,ABS Hotel
239,Noumea,NC,84.18,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
241,Green Valley,US,89.44,clear sky,31.8543,-110.9937,Best Western Green Valley Inn
243,Neiafu,TO,86.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
250,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
255,Dalkola,IN,78.24,clear sky,25.85,87.85,Hotel Oasis Palace
257,Pringsewu,ID,79.83,broken clouds,-5.3582,104.9744,Urban Style by Front One
260,Kihei,US,84.22,few clouds,20.785,-156.4656,Maui Sunset
264,Kavaratti,IN,83.17,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
275,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
278,Alim,PH,84.58,broken clouds,9.5649,122.4876,Calamai Tropica
279,Sinjai,ID,81.23,overcast clouds,-5.1241,120.25299999999999,Wisma Sandika
280,Keti Bandar,PK,79.32,clear sky,24.1447,67.4497,Haji laloo memon house
284,Armeria,MX,76.3,overcast clouds,18.9333,-103.9667,Hotel la Herradura
285,Lakatoro,VU,84.69,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
286,Loa Janan,ID,84.02,broken clouds,-0.583,117.095,Kost bu jono
293,El Rosario,MX,81.21,broken clouds,24.2556,-107.1828,Mi casa
295,Kalmunai,LK,78.75,broken clouds,7.4167,81.8167,VS Villa
296,Praxedis Guerrero,MX,79.81,clear sky,31.3667,-106.0167,Congregación placitas de Otero
302,Waingapu,ID,83.37,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
304,Mackay,AU,80.69,scattered clouds,-21.15,149.2,International Lodge Motel
307,Bandarbeyla,SO,80.37,few clouds,9.4942,50.8122,JABIR HOTEL
310,Bengkulu,ID,78.87,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
313,Port-Gentil,GA,80.33,moderate rain,-0.7193,8.7815,Fengshui Residence
318,Juba,SS,78.03,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
334,Baillif,GP,77.65,overcast clouds,16.0202,-61.7463,Hôtel Saint-Georges
335,Cape Coast,GH,79.93,light rain,5.1053,-1.2466,Samrit Hotel
341,Santa Catarina De Tepehuanes,MX,77.92,few clouds,25.35,-105.7333,hotel plaza
345,Galveston,US,82.51,clear sky,29.3669,-94.9669,Crystal Suites
347,Carutapera,BR,76.14,overcast clouds,-1.195,-46.02,Lidera
348,Manokwari,ID,83.39,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
353,Sur,OM,85.1,clear sky,22.5667,59.5289,Sur Plaza Hotel
355,Srivardhan,IN,77.4,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
358,San Patricio,US,82.54,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
364,Gigmoto,PH,82.54,few clouds,13.7796,124.39,Cj's Travellers Inn
366,Oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
372,Estelle,US,80.6,scattered clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
373,Nasirabad,IN,80.19,clear sky,26.3,74.7333,Hotel Sheesh Mahal & Restaurant
374,Molave,PH,84.43,overcast clouds,8.0844,123.491,Rielena Plaza Hotel and Suites
376,Ca Mau,VN,85.1,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
378,Murud,IN,77.61,clear sky,18.3258,72.965,On Point Plaza
380,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
382,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
383,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
387,Robertsport,LR,79.52,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
393,Yazman,PK,83.07,scattered clouds,29.1212,71.7446,Jamal sons showroom
395,Makakilo City,US,80.92,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
398,Garowe,SO,77.29,light rain,8.4054,48.4845,Curubo Hotel
407,Itarema,BR,77.47,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
411,Gorontalo,ID,86.99,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
415,Da Nang,VN,82.38,few clouds,16.0678,108.2208,Grand Mercure Danang
423,Domoni,KM,78.1,few clouds,-12.2569,44.5319,Al Djadid
431,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
432,Tual,ID,83.88,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
434,Iberia,US,78.87,few clouds,29.9502,-91.7507,back to back rv park
436,Hobyo,SO,82.54,light rain,5.3505,48.5268,Iftin hotel hobyo
439,Omoa,HN,82.58,clear sky,15.7667,-88.0333,Viña del Mar Omoa
440,Nanakuli,US,82.35,light rain,21.3906,-158.1547,Camp Pālehua
446,Qui Nhon,VN,77.76,few clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
448,Kibala,TD,87.75,clear sky,9.1104,18.3463,hotel safari
452,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
453,Manta,EC,80.38,scattered clouds,-0.95,-80.7333,Balandra Hotel
456,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
463,Kununurra,AU,85.98,clear sky,-15.7667,128.7333,Hotel Kununurra
464,Ejura,GH,77.65,overcast clouds,7.3856,-1.3562,Fire Servece
465,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
473,Eyl,SO,81.03,scattered clouds,7.9803,49.8164,Amiin Hotel
479,Port Hedland,AU,87.85,few clouds,-20.3167,118.5667,The Esplanade Hotel
483,Hoi An,VN,82.36,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
486,Aswan,EG,82.56,clear sky,24.0934,32.907,Nuba Nile
492,Pedernales,DO,78.6,overcast clouds,18.0384,-71.744,Hotel Costa Marina
499,Wajir,KE,80.49,light rain,1.7471,40.0573,Al-bustan Hotel And Restaurant.
509,Elat,IL,75.04,clear sky,29.5581,34.9482,Club Hotel Eilat
515,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
521,Vao,NC,76.98,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
534,Shamgarh,IN,80.47,clear sky,24.1833,75.6333,Hotel Shree Onkar Palace
536,Trat,TH,80.91,light rain,12.5,102.5,สวนหนิง-อัศ
538,Pirenopolis,BR,77.49,overcast clouds,-15.8525,-48.9592,Hotel Pousada Mandala
543,Quebrada Bonita Adentro,PA,80.78,broken clouds,9.3,-79.7,Cancha multiuso Villa de Oro
545,Biak,ID,82.27,overcast clouds,-0.9131,122.8766,Penginapan Kim
546,Hirara,JP,75.47,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
548,Daltenganj,IN,81.41,clear sky,24.0333,84.0667,Hotel Galaxy Inn
558,Arlit,NE,75.78,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
561,Santa Cruz De Tenerife,ES,79.61,haze,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
563,Khartoum,SD,84.02,clear sky,15.5518,32.5324,Hotel China
565,Port Keats,AU,88.38,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
570,Turbat,PK,80.56,clear sky,26.0023,63.044,Mubashar Quarters
571,Ulladulla,AU,75.78,overcast clouds,-35.35,150.4667,Sandpiper Motel
573,Coyula,MX,83.59,overcast clouds,20.6333,-103.2,EL MORAL 4N
578,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
579,Marsh Harbour,BS,76.37,broken clouds,26.5412,-77.0636,Abaco Beach Resort
